0	1	0.04
0.006122	0.979056	0.03947473760356517
0.012245	0.918678	0.03794108750339851
0.018367	0.825793	0.03551987600537533
0.02449	0.710591	0.032394877950472
0.030612	0.584815	0.02879010937578131
0.036735	0.459919	0.02494438845074017
0.042857	0.345475	0.02108788641982049
0.04898	0.248097	0.01742377094225979
0.055102	0.171045	0.0141177260910685
0.061224	0.114465	0.01129445295375235
0.067347	0.076103	0.009037061657745154
0.07346900000000001	0.052273	0.00738171680564411
0.079592	0.038815	0.006298606835135504
0.085714	0.031878	0.005675103365891943
0.091837	0.028398	0.005339491843522869
0.097959	0.026288	0.005126952367882699
0.104082	0.024369	0.004926862001966189
0.110204	0.022167	0.004688245869723921
0.116327	0.019651	0.004401970735757736
0.122449	0.016992	0.004080520976832077
0.128571	0.014403	0.003744404980470784
0.134694	0.012041	0.003412354713995057
0.140816	0.009986999999999999	0.003097919365837727
0.146939	0.008253	0.00280791070735081
0.153061	0.006817	0.002545123774296162
0.159184	0.005641	0.002309607727675048
0.165306	0.004693	0.002102094227014474
0.171429	0.00395	0.00192497076349648
0.177551	0.00339	0.001780611195361156
0.183673	0.00299	0.001670326773739078
0.189796	0.002718	0.001591213247728449
0.195918	0.002537	0.001536429231135564
0.202041	0.002407	0.001495905588644329
0.208163	0.002291	0.001458841753252918
0.214286	0.002161	0.001416206715900335
0.220408	0.002007	0.001364056607076127
0.226531	0.001827	0.00130057261638975
0.232653	0.001632	0.001228260592603449
0.238776	0.00144	0.001152819957660616
0.244898	0.001267	0.001080518303833461
0.25102	0.001121	0.001015650142566992
0.257143	0.001009	0.0009630328104561155
0.263265	0.000926	0.0009221674432821763
0.269388	0.000866	0.0008914963381737296
0.27551	0.000818	0.0008662009787645054
0.281633	0.000776	0.0008434632966310471
0.287755	0.000734	0.0008201130310486439
0.293878	0.000688	0.0007937726229162401
0.3	0.0006400000000000001	0.0007653466384404111
