#step  box_length  density  pressure
0 15.5547 0.544181 1.50619
10 16.0227 0.497877 1.61279
20 16.2206 0.479876 1.55885
30 16.2941 0.473415 1.57471
40 16.3788 0.466107 1.37892
50 16.3788 0.466107 1.54417
60 16.365 0.467289 1.50233
70 16.365 0.467289 1.50748
80 16.318 0.471335 1.48187
90 16.3258 0.47066 1.275
100 16.3163 0.471482 1.32499
110 16.2379 0.478343 1.39433
120 16.1823 0.483293 1.43077
130 16.1374 0.487341 1.42336
140 16.0985 0.490877 1.48231
150 16.0985 0.490877 1.45799
160 16.0916 0.491508 1.4977
170 16.0815 0.492439 1.49672
180 16.0479 0.495535 1.43461
190 15.9987 0.500126 1.45491
200 16.051 0.495249 1.55372
210 16.0311 0.497099 1.31326
220 16.0657 0.493887 1.37906
230 16.0657 0.493887 1.35494
240 15.9565 0.504102 1.45621
250 15.9565 0.504102 1.39358
260 15.9565 0.504102 1.36651
270 15.8761 0.511797 1.44008
280 15.8761 0.511797 1.43785
290 15.8734 0.512062 1.25073
300 15.8068 0.518556 1.48411
310 15.8453 0.514789 1.37294
320 15.7728 0.521918 1.62447
330 15.6745 0.531804 1.61654
340 15.6349 0.535856 1.64038
350 15.6974 0.529479 1.4719
360 15.7251 0.526687 1.42458
370 15.7971 0.519517 1.24788
380 15.7643 0.522767 1.42349
390 15.7553 0.523661 1.31686
400 15.7549 0.523702 1.35683
410 15.7294 0.526255 1.50287
420 15.6887 0.530359 1.39553
430 15.5953 0.539942 1.51344
440 15.5495 0.544726 1.54879
450 15.5455 0.545149 1.50562
460 15.5472 0.544968 1.59653
470 15.5472 0.544968 1.6461
480 15.5472 0.544968 1.54332
490 15.569 0.54269 1.42753
500 15.5481 0.544879 1.50157
510 15.5817 0.541355 1.3825
520 15.5117 0.548719 1.53179
530 15.5461 0.54509 1.62867
540 15.5461 0.54509 1.58627
550 15.5461 0.54509 1.52293
560 15.5497 0.544713 1.58028
570 15.5468 0.545015 1.60478
580 15.5322 0.546555 1.65819
590 15.5382 0.545918 1.55201
600 15.5297 0.546819 1.58586
610 15.4663 0.553567 1.54808
620 15.4734 0.552802 1.48903
630 15.4888 0.55116 1.45585
640 15.5421 0.545504 1.53657
650 15.5485 0.544832 1.38053
660 15.4989 0.55008 1.50051
670 15.5434 0.545366 1.30755
680 15.5448 0.54522 1.44104
690 15.466 0.553599 1.40289
700 15.4033 0.560383 1.49664
710 15.4432 0.556058 1.49538
720 15.4283 0.557665 1.46452
730 15.416 0.559008 1.65684
740 15.4345 0.556996 1.52013
750 15.4141 0.559213 1.45424
760 15.4141 0.559213 1.49585
770 15.3879 0.562076 1.49657
780 15.3996 0.560788 1.67454
790 15.3996 0.560788 1.44173
800 15.3754 0.563441 1.53058
810 15.4408 0.556316 1.52188
820 15.4153 0.559083 1.42914
830 15.4069 0.55999 1.53565
840 15.4069 0.55999 1.44866
850 15.4069 0.55999 1.45844
860 15.412 0.559435 1.61131
870 15.4082 0.559857 1.53148
880 15.4067 0.56002 1.54687
890 15.4566 0.554612 1.54225
900 15.4566 0.554612 1.54602
910 15.4566 0.554612 1.69998
920 15.4766 0.552459 1.38783
930 15.4766 0.552459 1.53725
940 15.4434 0.556036 1.61139
950 15.4434 0.556036 1.38808
960 15.4202 0.558547 1.54608
970 15.4177 0.558823 1.41653
980 15.3938 0.561424 1.50315
