#step  box_length  density  pressure
0 13.4655 0.838809 -0.0362898
10 13.4655 0.838809 0.0640912
20 13.4655 0.838809 0.143475
30 13.4655 0.838809 0.0530327
40 13.4655 0.838809 0.0719308
50 13.4526 0.84122 0.236985
60 13.5012 0.832163 -0.199888
70 13.464 0.839091 0.115138
80 13.4737 0.837277 -0.0127735
90 13.4782 0.836434 -0.112471
100 13.4782 0.836434 -0.102087
110 13.4547 0.840828 0.220342
120 13.4669 0.838549 -0.0697718
130 13.4669 0.838549 0.112509
140 13.4669 0.838549 0.0675996
150 13.4732 0.837373 0.0533348
160 13.4546 0.84085 0.0356884
170 13.4871 0.834786 -0.10052
180 13.4871 0.834786 0.0235864
190 13.4871 0.834786 0.0349501
200 13.4871 0.834786 -0.00746685
210 13.4932 0.833653 0.0474864
220 13.4986 0.832648 -0.104874
230 13.4986 0.832648 -0.0839361
240 13.4986 0.832648 -0.0494193
250 13.4986 0.832648 0.20579
260 13.4982 0.832728 0.123375
270 13.4982 0.832728 0.0159568
280 13.4982 0.832728 -0.0411967
290 13.4982 0.832728 -0.320755
