#step  box_length  density  pressure
#0 15.4933 0.550683 1.82099
10 14.6326 0.653687 9.09126
20 14.499 0.671922 8.51243
30 14.3271 0.696397 8.73891
40 14.3271 0.696397 7.33009
50 14.1402 0.724372 8.57095
60 13.9096 0.760995 10.5964
70 13.8755 0.766634 9.6966
80 13.8577 0.769581 8.56614
90 13.7911 0.780796 8.86964
100 13.7163 0.793639 9.394
110 13.6827 0.799495 9.26997
120 13.6827 0.799495 8.63151
130 13.623 0.81005 8.83606
140 13.5437 0.824366 9.24342
150 13.5437 0.824366 8.83139
160 13.5002 0.832365 9.16261
170 13.4276 0.845931 10.075
180 13.4276 0.845931 9.68326
190 13.4535 0.841049 9.04035
200 13.4535 0.841049 8.57251
210 13.4159 0.848149 8.7889
220 13.3802 0.854946 8.7738
230 13.3802 0.854946 8.64009
240 13.268 0.876817 10.0903
250 13.268 0.876817 9.67763
260 13.257 0.87902 9.51426
270 13.257 0.87902 9.37308
280 13.257 0.87902 9.33928
290 13.218 0.886805 9.823
300 13.218 0.886805 9.80057
310 13.218 0.886805 9.33687
320 13.218 0.886805 9.21163
330 13.218 0.886805 9.29231
340 13.218 0.886805 9.50086
350 13.2217 0.886073 9.08808
360 13.2217 0.886073 9.16872
370 13.2217 0.886073 8.99442
380 13.2217 0.886073 8.96325
390 13.1983 0.8908 9.6058
400 13.1983 0.8908 9.00326
410 13.1478 0.901103 9.53441
420 13.158 0.89901 9.29222
430 13.158 0.89901 9.19389
440 13.1543 0.899751 9.24343
450 13.1416 0.902381 9.77601
460 13.1434 0.902001 9.65009
470 13.1663 0.897296 9.32966
480 13.1663 0.897296 9.25568
490 13.1663 0.897296 8.80723
500 13.1377 0.903179 9.48807
510 13.1501 0.900628 9.5837
520 13.1466 0.901336 9.44892
530 13.1466 0.901336 9.38687
540 13.1466 0.901336 9.4996
550 13.153 0.90002 9.37854
560 13.16 0.898596 9.13132
570 13.16 0.898596 9.40241
580 13.1557 0.899471 9.24207
590 13.1557 0.899471 9.34597
600 13.1557 0.899471 9.34626
610 13.1368 0.903366 9.63071
620 13.1368 0.903366 9.5953
630 13.1368 0.903366 9.13683
640 13.1457 0.901517 9.34373
650 13.1446 0.901763 9.08185
660 13.1483 0.900988 9.22297
670 13.1226 0.906298 9.95467
680 13.1226 0.906298 9.76186
690 13.1174 0.907385 9.66813
700 13.1174 0.907385 9.78895
710 13.1239 0.90603 9.14607
720 13.0845 0.91423 9.75077
730 13.1194 0.906962 9.36611
740 13.1077 0.909392 9.30525
750 13.1669 0.897186 8.56047
760 13.1669 0.897186 8.94461
770 13.1404 0.902618 9.22479
780 13.1404 0.902618 9.34629
790 13.1243 0.905945 9.76239
800 13.1215 0.906532 9.532
810 13.1215 0.906532 9.08966
820 13.1215 0.906532 9.45263
830 13.1215 0.906532 9.3909
840 13.1215 0.906532 9.45642
850 13.1215 0.906532 9.68453
860 13.1215 0.906532 9.53813
870 13.1215 0.906532 9.41599
880 13.1215 0.906532 9.83869
890 13.1215 0.906532 9.78498
900 13.1323 0.904297 9.46328
910 13.1492 0.900806 9.35695
920 13.1492 0.900806 9.01556
930 13.1329 0.904166 9.33726
940 13.1329 0.904166 9.61204
950 13.1329 0.904166 9.42499
960 13.1329 0.904166 9.24011
970 13.1329 0.904166 9.28108
980 13.1329 0.904166 9.30849
990 13.1329 0.904166 9.2519
1000 13.1329 0.904166 8.86019
1010 13.1204 0.90675 9.36751
1020 13.1204 0.90675 9.41313
1030 13.1204 0.90675 9.7072
1040 13.1204 0.90675 9.64756
1050 13.1267 0.905443 9.72347
1060 13.1267 0.905443 9.30983
1070 13.1271 0.905358 9.60498
1080 13.1271 0.905358 9.79268
1090 13.1296 0.904853 9.79614
1100 13.108 0.909325 9.92086
1110 13.1102 0.908861 10.0079
1120 13.1554 0.899534 9.28532
1130 13.1501 0.900624 9.26732
1140 13.1518 0.900281 8.90606
1150 13.1269 0.905401 9.35622
1160 13.1269 0.905401 9.25139
1170 13.1056 0.909824 9.88382
1180 13.1434 0.902001 9.16872
1190 13.1139 0.908103 9.49371
1200 13.1139 0.908103 9.281
1210 13.0903 0.913028 10.1337
1220 13.1374 0.903243 9.51617
1230 13.1573 0.899149 8.88769
1240 13.1515 0.900326 9.19645
1250 13.1151 0.907846 9.42009
1260 13.1151 0.907846 9.43335
1270 13.1151 0.907846 9.41604
1280 13.1151 0.907846 9.7241
1290 13.1373 0.903249 9.60251
1300 13.136 0.903524 10.0607
1310 13.1341 0.903916 9.56894
1320 13.1341 0.903916 9.49206
1330 13.1341 0.903916 9.42344
1340 13.1341 0.903916 9.70534
1350 13.1341 0.903916 9.45336
1360 13.1341 0.903916 9.33005
1370 13.1341 0.903916 9.62639
1380 13.1274 0.905296 9.63848
1390 13.1147 0.907928 9.95889
1400 13.1147 0.907928 9.55484
1410 13.1147 0.907928 9.94425
1420 13.1147 0.907928 9.43644
1430 13.13 0.904761 9.46648
1440 13.13 0.904761 9.60236
1450 13.1058 0.909793 9.52631
1460 13.1058 0.909793 9.42577
1470 13.0911 0.912849 9.93065
1480 13.1217 0.906476 9.59141
1490 13.1217 0.906476 9.70518
1500 13.1217 0.906476 9.89167
1510 13.1217 0.906476 9.78794
1520 13.1307 0.904622 9.53764
1530 13.1307 0.904622 9.65948
1540 13.1307 0.904622 9.57902
1550 13.104 0.910151 9.77745
1560 13.104 0.910151 9.92606
1570 13.1293 0.904912 9.19745
1580 13.1047 0.910005 9.78542
1590 13.1047 0.910005 9.81518
1600 13.1047 0.910005 9.75107
1610 13.1047 0.910005 9.76618
1620 13.166 0.897369 9.10294
1630 13.1377 0.903178 9.87212
1640 13.1377 0.903178 9.62093
1650 13.1287 0.905041 9.30184
1660 13.1287 0.905041 9.55371
1670 13.1287 0.905041 9.76276
1680 13.1287 0.905041 9.6814
1690 13.1287 0.905041 9.67183
1700 13.1239 0.906026 9.51151
1710 13.1094 0.909031 9.7803
1720 13.1219 0.906439 9.60026
1730 13.139 0.90291 9.22541
1740 13.1301 0.904748 9.45155
1750 13.1301 0.904748 9.29254
1760 13.1301 0.904748 9.3642
1770 13.1452 0.90164 9.31006
1780 13.1452 0.90164 9.37646
1790 13.1452 0.90164 9.32805
1800 13.1452 0.90164 9.50713
1810 13.1452 0.90164 9.61916
1820 13.1594 0.898724 9.24676
1830 13.1594 0.898724 8.92605
1840 13.1451 0.90166 9.37223
1850 13.1451 0.90166 9.21691
1860 13.1451 0.90166 9.40119
1870 13.1451 0.90166 9.40528
1880 13.1451 0.90166 9.19565
1890 13.1248 0.905841 9.66889
1900 13.1248 0.905841 9.35545
1910 13.1248 0.905841 9.70136
1920 13.1248 0.905841 9.45515
1930 13.1253 0.905739 9.82149
1940 13.1274 0.90531 9.35548
1950 13.1274 0.90531 9.64794
1960 13.1468 0.901306 9.25588
1970 13.1468 0.901306 9.11616
1980 13.1468 0.901306 9.38328
1990 13.1468 0.901306 9.39947
2000 13.149 0.900842 9.35441
2010 13.149 0.900842 9.45854
2020 13.149 0.900842 9.21474
2030 13.161 0.898397 9.05856
2040 13.161 0.898397 8.93632
2050 13.161 0.898397 9.22525
2060 13.1428 0.902122 9.50393
2070 13.169 0.896741 8.97643
2080 13.169 0.896741 9.2333
2090 13.1498 0.900693 9.28017
2100 13.1445 0.901774 9.5632
2110 13.1445 0.901774 9.31657
2120 13.1518 0.900282 9.38007
2130 13.1457 0.901529 9.4673
2140 13.1457 0.901529 9.17107
2150 13.1457 0.901529 9.6795
2160 13.1457 0.901529 9.24396
2170 13.1381 0.903096 9.58994
2180 13.1381 0.903096 9.21852
2190 13.1381 0.903096 9.08433
2200 13.1381 0.903096 9.57207
2210 13.1381 0.903096 9.15236
2220 13.1361 0.903495 9.50816
2230 13.128 0.905187 9.5472
2240 13.128 0.905187 9.57291
2250 13.128 0.905187 9.40854
2260 13.1157 0.907718 9.86972
2270 13.1329 0.904161 9.4057
2280 13.167 0.897157 8.762
2290 13.1176 0.907339 10.0825
2300 13.1176 0.907339 9.88836
2310 13.1176 0.907339 9.74239
2320 13.1141 0.908055 9.71351
2330 13.1141 0.908055 9.91641
2340 13.1141 0.908055 9.71641
2350 13.1771 0.895092 8.816
2360 13.1493 0.900792 9.29133
2370 13.162 0.898192 9.2592
2380 13.136 0.903522 9.32943
2390 13.142 0.90229 9.16887
2400 13.142 0.90229 9.32731
2410 13.142 0.90229 9.38994
2420 13.142 0.90229 9.87049
2430 13.142 0.90229 9.78858
2440 13.142 0.90229 9.24049
2450 13.1302 0.904732 9.5427
2460 13.1393 0.902851 9.20364
2470 13.1393 0.902851 9.19208
2480 13.1393 0.902851 9.38132
2490 13.1249 0.90582 9.16307
2500 13.1249 0.90582 9.69544
2510 13.1269 0.905399 9.69332
2520 13.1069 0.909552 10.0557
2530 13.1232 0.906169 9.81705
2540 13.175 0.895524 9.00721
2550 13.1138 0.908117 9.95767
2560 13.17 0.896543 8.84948
2570 13.17 0.896543 9.03147
2580 13.1425 0.90218 9.62563
2590 13.1456 0.901544 9.18765
2600 13.1456 0.901544 9.12049
2610 13.1456 0.901544 9.2471
2620 13.1244 0.905924 9.42926
2630 13.1182 0.907218 9.44678
2640 13.1182 0.907218 9.1995
2650 13.115 0.907881 9.71371
2660 13.115 0.907881 9.55458
2670 13.115 0.907881 9.67847
2680 13.0994 0.911127 9.86553
2690 13.116 0.907664 9.80571
2700 13.1225 0.906311 9.82402
2710 13.1274 0.905294 9.82111
2720 13.1144 0.908006 9.9536
2730 13.1144 0.908006 9.95426
2740 13.1144 0.908006 9.74791
2750 13.1164 0.907584 9.61265
2760 13.1434 0.902009 9.80665
2770 13.1446 0.901761 9.33864
2780 13.1446 0.901761 9.39941
2790 13.1448 0.901716 9.45434
2800 13.1353 0.903676 9.45817
2810 13.1353 0.903676 9.65065
2820 13.1353 0.903676 9.33063
2830 13.1353 0.903676 9.66483
2840 13.1353 0.903676 9.29146
2850 13.1353 0.903676 9.54534
2860 13.1353 0.903676 9.28912
2870 13.1353 0.903676 9.71968
2880 13.1353 0.903676 9.1536
2890 13.0978 0.911447 9.88561
2900 13.1082 0.909282 9.67317
2910 13.1082 0.909282 9.8771
2920 13.1334 0.904063 9.68477
2930 13.1334 0.904063 8.92537
2940 13.1334 0.904063 9.34711
2950 13.1334 0.904063 9.15377
2960 13.1334 0.904063 9.24722
2970 13.0951 0.912015 9.9301
2980 13.0951 0.912015 9.51841
2990 13.0951 0.912015 9.71745
3000 13.0951 0.912015 10.2697
3010 13.1359 0.903547 9.28242
3020 13.1245 0.905894 9.52458
3030 13.1253 0.905735 9.57472
3040 13.1253 0.905735 9.35128
3050 13.1022 0.910526 9.82325
3060 13.1022 0.910526 9.26439
3070 13.1022 0.910526 9.77726
3080 13.1287 0.90503 9.51157
3090 13.1287 0.90503 9.43056
3100 13.1302 0.90472 9.59446
3110 13.1302 0.90472 9.39963
3120 13.1302 0.90472 9.46016
3130 13.1455 0.90156 9.15414
3140 13.1161 0.90765 9.6092
3150 13.095 0.91203 9.90913
3160 13.1271 0.905356 9.11107
3170 13.1276 0.90527 9.39223
3180 13.1276 0.90527 9.34978
3190 13.1276 0.90527 9.57613
3200 13.1165 0.90756 9.89697
3210 13.1205 0.906739 9.49955
3220 13.1205 0.906739 9.53327
3230 13.1205 0.906739 9.52241
3240 13.0896 0.913158 9.80548
3250 13.0896 0.913158 10.3612
3260 13.0896 0.913158 9.6824
3270 13.0896 0.913158 9.79262
3280 13.0896 0.913158 10.1994
3290 13.087 0.913714 10.1458
3300 13.0907 0.912928 9.82373
3310 13.0907 0.912928 10.0356
3320 13.0907 0.912928 10.2411
3330 13.0915 0.912764 9.76387
3340 13.1151 0.907852 9.53138
3350 13.1141 0.90806 9.32744
3360 13.1046 0.910042 9.71596
3370 13.1046 0.910042 9.56663
3380 13.0939 0.91226 9.90822
3390 13.0939 0.91226 10.0253
3400 13.1165 0.907554 9.86865
3410 13.1272 0.905337 9.41231
3420 13.1224 0.906345 9.62089
3430 13.0998 0.911046 9.53183
3440 13.1203 0.90678 9.08968
3450 13.1179 0.907262 9.29633
3460 13.108 0.909338 9.75255
3470 13.108 0.909338 9.49337
3480 13.1126 0.908368 9.42455
3490 13.1126 0.908368 9.50058
3500 13.1126 0.908368 9.28539
3510 13.1187 0.907105 9.36959
3520 13.1187 0.907105 9.62137
3530 13.1454 0.901585 9.15267
3540 13.1454 0.901585 9.3411
3550 13.1454 0.901585 9.49454
3560 13.1454 0.901585 9.57613
3570 13.1454 0.901585 9.31443
3580 13.1454 0.901585 9.63135
3590 13.1451 0.901644 9.22209
3600 13.1068 0.909575 9.76693
3610 13.1126 0.908368 9.90836
3620 13.1215 0.906534 9.88515
3630 13.1215 0.906534 9.44821
3640 13.1215 0.906534 8.94836
3650 13.1215 0.906534 9.10984
3660 13.1215 0.906534 9.53513
3670 13.1439 0.901898 9.13468
3680 13.1058 0.909783 9.40144
3690 13.0809 0.91499 10.1425
3700 13.0809 0.91499 9.90559
3710 13.1253 0.905729 9.5609
3720 13.1253 0.905729 9.256
3730 13.1253 0.905729 9.24022
3740 13.1174 0.907382 9.37354
3750 13.1174 0.907382 9.80745
3760 13.1174 0.907382 9.22364
3770 13.1096 0.909 9.52278
3780 13.1096 0.909 9.4742
3790 13.1096 0.909 9.50522
3800 13.1096 0.909 9.8116
3810 13.0977 0.911478 9.79633
3820 13.1254 0.905724 9.48697
3830 13.1254 0.905724 9.54423
3840 13.1254 0.905724 9.93407
3850 13.1254 0.905724 9.87313
3860 13.1654 0.897484 9.17188
3870 13.1159 0.907683 10.1248
3880 13.1525 0.900135 9.03977
3890 13.1452 0.901626 9.30895
3900 13.1466 0.901351 9.04165
3910 13.1466 0.901351 9.20667
3920 13.1348 0.903783 9.33712
3930 13.1318 0.904394 9.2206
3940 13.1249 0.905822 9.47825
3950 13.1249 0.905822 9.40684
3960 13.1249 0.905822 9.7772
