#step  box_length  density  pressure
0 15.4933 0.550683 0.408088
10 15.5098 0.548919 0.123129
20 15.5034 0.549601 0.118046
30 15.4891 0.55113 0.265885
40 15.4837 0.551706 0.103823
50 15.434 0.557051 0.322221
60 15.462 0.554026 0.0596228
70 15.3781 0.563149 0.262664
80 15.3721 0.563803 0.208716
90 15.3721 0.563803 0.108637
100 15.3397 0.567385 0.257068
110 15.3397 0.567385 0.0882519
120 15.3145 0.570188 0.11469
130 15.2434 0.578208 0.190888
140 15.1977 0.583436 0.233842
150 15.1977 0.583436 0.185241
160 15.1828 0.585156 0.135048
170 15.1647 0.587258 0.198998
180 15.1545 0.588449 0.277134
190 15.1545 0.588449 0.0532
200 15.1043 0.594325 0.183067
210 15.0673 0.598724 0.190103
220 15.0463 0.601234 0.193897
230 15.0463 0.601234 0.0685804
240 15.0021 0.606561 0.087302
250 14.9807 0.609163 0.142291
260 14.9488 0.613075 0.162334
270 14.9515 0.612741 0.17832
280 14.9069 0.618257 0.218524
290 14.9069 0.618257 0.171571
300 14.9069 0.618257 0.156724
310 14.8602 0.624101 0.345728
320 14.8602 0.624101 0.265981
330 14.8602 0.624101 0.205687
340 14.8474 0.625713 0.177089
350 14.8474 0.625713 0.158741
360 14.8397 0.626699 0.0545448
370 14.7868 0.633447 0.145833
380 14.7868 0.633447 0.0623814
390 14.7656 0.63618 0.232426
400 14.7656 0.63618 0.165725
410 14.7656 0.63618 0.188556
420 14.7656 0.63618 0.055097
430 14.7656 0.63618 0.0113739
440 14.6526 0.651012 0.290752
450 14.6526 0.651012 0.181226
460 14.6344 0.653436 0.102927
470 14.579 0.660915 0.323239
480 14.579 0.660915 0.15533
490 14.579 0.660915 0.106657
500 14.579 0.660915 0.0359578
510 14.5789 0.660929 0.0686717
520 14.5471 0.665272 0.132779
530 14.5471 0.665272 0.128495
540 14.5142 0.669808 0.298099
550 14.5142 0.669808 0.155935
560 14.4781 0.674833 0.221084
570 14.4781 0.674833 0.117383
580 14.4781 0.674833 0.0608734
590 14.407 0.684877 0.27118
600 14.407 0.684877 0.154908
610 14.3584 0.691848 0.332587
620 14.3584 0.691848 0.324535
630 14.3584 0.691848 0.266204
640 14.366 0.690757 0.145932
650 14.366 0.690757 0.231239
660 14.3496 0.693125 0.142105
670 14.3496 0.693125 0.0633537
680 14.3496 0.693125 -0.071955
690 14.3161 0.698004 0.207443
700 14.3161 0.698004 0.0501388
710 14.3024 0.700014 0.042929
720 14.2693 0.704888 0.153275
730 14.2693 0.704888 0.105164
740 14.2432 0.70878 0.275404
