#step  box_length  density  pressure
0 15.5547 0.544181 1.50619
10 16.3649 0.467297 0.95672
20 17.038 0.414073 0.893343
30 17.6098 0.375029 0.568312
40 17.7195 0.368106 0.76203
50 18.1561 0.342186 0.571437
60 18.4681 0.325134 0.583018
70 18.9175 0.302508 0.387377
80 18.9212 0.302333 0.534762
90 19.0413 0.296646 0.480751
100 19.0492 0.296279 0.547265
110 19.1504 0.291605 0.558856
120 19.2595 0.286679 0.513495
130 19.2299 0.288005 0.45793
140 19.225 0.288226 0.550596
150 19.2691 0.286251 0.449239
160 19.2743 0.28602 0.522967
170 19.2743 0.28602 0.444245
180 19.3132 0.284292 0.456962
190 19.397 0.280623 0.557786
200 19.5264 0.275081 0.489278
210 19.5683 0.27332 0.458054
220 19.5514 0.27403 0.491893
230 19.6142 0.271407 0.504251
240 19.6043 0.271817 0.471554
250 19.5689 0.273296 0.475959
260 19.4589 0.277953 0.488663
270 19.3827 0.281246 0.518795
280 19.2942 0.285135 0.512973
290 19.4056 0.280251 0.528052
300 19.4391 0.278805 0.492787
310 19.2455 0.287304 0.543795
320 19.2455 0.287304 0.480314
330 19.2121 0.288807 0.545557
340 19.4438 0.278602 0.42681
350 19.3221 0.2839 0.510941
360 19.3973 0.280613 0.505722
370 19.3903 0.280916 0.496424
380 19.489 0.276668 0.494494
390 19.3316 0.283485 0.47931
400 19.1323 0.292434 0.553864
410 19.0859 0.29457 0.536327
420 19.0859 0.29457 0.509708
430 19.0555 0.295982 0.525232
440 19.2096 0.288919 0.496472
450 19.2131 0.288762 0.509001
460 19.1901 0.289802 0.505834
470 19.2656 0.286406 0.508344
480 19.3962 0.28066 0.445815
490 19.3962 0.28066 0.428977
500 19.3282 0.283633 0.468571
510 19.2053 0.289113 0.501818
520 19.1212 0.292946 0.488646
530 19.2114 0.288835 0.495304
540 19.2895 0.285343 0.485811
550 19.2607 0.286624 0.459596
560 19.2936 0.285163 0.446407
570 19.1825 0.290145 0.517058
580 19.0398 0.296719 0.517484
590 19.0691 0.295354 0.535131
600 19.1577 0.291271 0.540164
610 19.0794 0.294872 0.524406
620 19.2012 0.289296 0.541178
630 19.282 0.285676 0.475923
640 19.155 0.291396 0.556122
650 19.1576 0.291279 0.485832
660 19.2667 0.286359 0.489855
670 19.1806 0.290233 0.503761
680 19.2307 0.287967 0.515429
690 19.1328 0.292413 0.45606
700 19.1481 0.29171 0.488717
710 19.1013 0.293859 0.501909
720 19.0561 0.295957 0.500417
730 18.9699 0.300011 0.517202
740 19.0432 0.296557 0.528291
750 19.1805 0.290237 0.477884
760 19.1698 0.290721 0.484807
770 19.1758 0.290448 0.512303
780 19.2195 0.28847 0.461249
790 19.2299 0.288006 0.518849
800 19.3527 0.282556 0.541541
810 19.3258 0.283736 0.498666
820 19.3132 0.284293 0.502997
830 19.2822 0.285668 0.466835
840 19.3602 0.28223 0.478497
850 19.2638 0.286485 0.535457
860 19.2638 0.286485 0.505503
870 19.3399 0.283119 0.470102
880 19.1158 0.293192 0.511834
890 19.0941 0.294193 0.525046
900 19.1107 0.293427 0.5363
910 19.0553 0.295995 0.542619
920 18.9879 0.299156 0.57734
930 18.9957 0.298789 0.558378
940 19.1268 0.292685 0.51026
950 19.2301 0.287995 0.460891
960 19.3325 0.283444 0.487336
970 19.3846 0.281163 0.484169
980 19.3594 0.282261 0.489442
990 19.4264 0.279352 0.433799
1000 19.394 0.280756 0.521724
1010 19.394 0.280756 0.441699
1020 19.2133 0.28875 0.486253
1030 19.2133 0.28875 0.466989
1040 19.0159 0.297839 0.499569
1050 18.9481 0.301048 0.54448
1060 18.9805 0.299505 0.505318
1070 19.0478 0.296344 0.508034
1080 19.0373 0.296835 0.535142
1090 19.0571 0.295911 0.496808
1100 19.0655 0.295519 0.481638
1110 19.2731 0.286071 0.42189
1120 19.2396 0.287568 0.508804
1130 19.3113 0.284378 0.495049
1140 19.2147 0.288689 0.497607
1150 19.1884 0.289875 0.503365
1160 19.2485 0.287172 0.479891
1170 19.2111 0.288849 0.505897
1180 19.1883 0.28988 0.471455
1190 19.2198 0.28846 0.477876
1200 19.2135 0.288744 0.493111
1210 19.1638 0.290995 0.474201
1220 19.0598 0.295784 0.467084
1230 19.0598 0.295784 0.502213
1240 19.1327 0.292416 0.47714
1250 19.1554 0.291376 0.545875
1260 19.1768 0.290405 0.451069
1270 18.9438 0.30125 0.500974
1280 18.8628 0.305147 0.523324
1290 19.037 0.296848 0.526292
1300 19.037 0.296848 0.516602
1310 19.037 0.296848 0.509391
1320 18.9399 0.301436 0.565916
1330 18.8768 0.30447 0.478931
1340 18.8768 0.30447 0.562769
1350 18.9033 0.303189 0.536467
1360 18.9621 0.30038 0.500264
1370 19.0931 0.294239 0.45098
1380 19.0054 0.29833 0.531724
1390 19.1371 0.292215 0.446645
1400 19.1365 0.292244 0.442129
1410 19.1365 0.292244 0.471489
1420 19.1494 0.291653 0.463112
1430 19.1494 0.291653 0.476569
1440 19.1494 0.291652 0.530286
1450 19.2354 0.287757 0.461978
1460 19.2354 0.287757 0.490121
1470 19.2028 0.289226 0.458209
1480 19.1055 0.293668 0.493349
1490 19.1055 0.293668 0.442452
1500 19.0556 0.295978 0.48282
1510 19.0415 0.296638 0.500823
1520 19.1124 0.293351 0.451307
1530 19.104 0.293735 0.48226
1540 19.1537 0.291456 0.478584
1550 19.228 0.288089 0.490008
1560 19.0136 0.297947 0.508359
1570 18.9796 0.299548 0.511049
1580 19.095 0.294151 0.458777
1590 18.8401 0.306251 0.528412
1600 18.9142 0.302665 0.492936
1610 18.8348 0.306511 0.472619
1620 18.8933 0.303671 0.452038
1630 18.9046 0.30313 0.431663
1640 18.9208 0.302352 0.481503
1650 18.7297 0.311699 0.594034
1660 18.8976 0.303464 0.498447
1670 18.8439 0.30607 0.541927
1680 18.9744 0.299794 0.487366
1690 18.8206 0.307206 0.54081
1700 18.8253 0.306974 0.523629
1710 18.8253 0.306974 0.567751
1720 19.0245 0.297433 0.453314
1730 18.8233 0.307075 0.50766
1740 18.7397 0.311202 0.549821
1750 18.7626 0.310063 0.542896
1760 18.6659 0.314907 0.541516
1770 18.6404 0.316203 0.51481
1780 18.6274 0.316864 0.523934
1790 18.6227 0.317103 0.59994
1800 18.7894 0.308741 0.489899
1810 18.7438 0.310998 0.543043
1820 19.0043 0.298384 0.450447
1830 18.8497 0.305784 0.51943
1840 18.9848 0.299305 0.466576
1850 18.9848 0.299305 0.461233
1860 18.7403 0.311174 0.54996
1870 18.7108 0.312645 0.539104
1880 18.8817 0.304236 0.479699
1890 18.9133 0.302713 0.492786
1900 18.8186 0.307303 0.534998
1910 19.0372 0.296837 0.449233
1920 18.8354 0.30648 0.542195
1930 18.9171 0.302529 0.488755
1940 19.0609 0.295734 0.503528
1950 19.0722 0.295209 0.477584
1960 18.8728 0.304665 0.544763
1970 19.0142 0.297918 0.455548
1980 18.9663 0.30018 0.484409
1990 19.0035 0.298419 0.499527
2000 19.1234 0.292841 0.488601
2010 19.1002 0.293912 0.412656
2020 19.0524 0.296131 0.418107
2030 18.9962 0.298765 0.524299
2040 18.8313 0.306684 0.557514
2050 18.946 0.301147 0.521972
2060 18.9317 0.301831 0.534225
2070 18.9919 0.29897 0.464113
2080 18.9811 0.29948 0.48773
2090 18.9814 0.299463 0.452529
2100 18.9586 0.300546 0.46146
2110 18.851 0.305722 0.57502
2120 18.7419 0.311094 0.527402
2130 18.9289 0.301963 0.5194
2140 19.0095 0.298139 0.428565
2150 18.9127 0.30274 0.520339
2160 18.9565 0.300645 0.487578
2170 18.8496 0.305788 0.502973
2180 18.8652 0.305031 0.445115
2190 18.7918 0.308622 0.535633
2200 19.0165 0.297809 0.480873
2210 19.0073 0.298242 0.483149
2220 18.9433 0.301275 0.536634
2230 18.788 0.308808 0.496437
2240 18.8324 0.306629 0.499355
2250 19.0498 0.296251 0.521179
2260 19.1645 0.290962 0.48315
2270 19.0734 0.295152 0.518094
2280 18.9834 0.299368 0.524365
2290 18.962 0.300384 0.446931
2300 18.8312 0.306685 0.541004
